Text,Label
جز یات بسیار دقیق هستند ، رنگ های تولید شده بسیار طبیعی بوده و نویز عکس ها کم است .,2
من زیاد نمی پسندم البته نظرم شخصیه و دیدگاه تخصصی نداره و اگر بخوام زمانی گوشی بخرم این گوشی اولویت سوم یا چهارم من خواهد بود چون خیلی از امکاناتش به درد من نمیخوره پس برای یه کاربر معمولی گوشی های اندرویدی با این قیمت هست که بسیار کار امد تره .,-1
.,0
همونطور که مهندسان اپل در کنفرانس معرفی گفتن ، در این یکی دو سال ، آیپاد تاچ و به تبع اون آیپاد تاچ نسل ، محبوب ترین دستگاه پخش موزیک و حتی بازی در بین کاربران بوده .,2
هرچند درایورشو دانلود کردم باید ویندوزش اوریجینال باشه .,0
همچنین دوربین این گوشی توانایی فیلم برداری را دارد .,0
نرم افزار سیستم عامل به کار رفته بر روی این تبلت نسخه از سیستم عامل قدرتمند اندروید می باشد .,1
من این دوربین رو یه هفته ای هست که از سایت دیجی کالا خریدم و ضمن رضایت کامل از دیجی کالا و نحوه دریافت کالا ، اندر مزایای این دوربین بگم که کیفیت عکسبرداریش خیلی خوبه و خودم به شخصه انتظار چنین کیفیت بالایی رو با توجه به قیمتش نداشتم .,2
سخت افزار داخلی همان طور که در خلاصه محصول اشاره کردیم ، سری در مدل های بسیاری در بازار وجود دارد و در آن ها می توان از مدل هایی با پردازنده تا نسل سوم پردازنده های قدرتمند یافت .,0
کافی است کیت تکامل هوشمند سامسونگ را در تلویزیون خود قرار دهید و بگذارید جادوی خود را اجرا کند .,0
تبلت جدید اسوس واقعا سخت افزاره خوبی داره ولی آیا واقعا این سخت افزار به درد همچین تبلتی میخوره .,1
فقط مواظب باشین از بازار علادین تهران نخرید ، براتون خیلی گرونتر درمیاد .,-1
من میخواهم با یک سری مقایسه انتخاب را به عهده ی خودتان بزارم ولی به پیشنهاد من هم گوش کنید .,0
دوستان عزیزی که در مورد آپدیت کردن یا نکردن گوشی خود به آندروید شک دارند خدمت دوستان عرض کنم که آندروید بر پایه گیگابایت رم پایه ریزی شده و روی گوشهایی با مگابایت رم هم جواب میدهد اما سرعت به طرز چشم گیری کاهش می یابد مخصوصا زمانیکه با گوشی خود بازیهای انجام میدهید یا در حال تماشای فیلمهای با حجم بالا هستید .,-1
گوشی ظریفیه موقع خریدش کاور فراموش نشه .,1
سلام دوستان من این تبلتو یک هفته ای هست که از دیجی کالا خریدم اولا باید تشکر ویژه ای داشته باشم از این مرکز خرید بعدشم باید در مورد این تبلت بگم که معرکه هست عالیه,2
اما وجود دوربین بر روی تبلت بیشتر در جهت انجام مکالمات تصویری می باشد .,0
عکس های فوق العاده فلش عالی عکس بعدی و فیلم برداری معرکه ای داره,2
به نظر من حتی به هم نمیرسه !,-1
من این گوشی رو چند روز پیش خریدم فوق العاده است تو این رنج قیمت این امکانات تو هیچ گوشی پیدا نمیشه فقط یه مشکلی که داره کاور و قاب ژله ای براش پیدا نکردم,1
بهمراه دسته های سیم دار !,0
اما که حالا که جابزی در کار نیست دیگر شاهد این نوآوری های ضعیف هم نیستیم البته چیز های جدیدی هست مثل و و . .,0
ال سی دی این گوشی در مقایسه با نوت و اس بسیار روشن تر و واضح تر هست به طوری که اصلا باور نمیکنید تا نبینید .,2
بله ، این کنسول هک شده و کپی خور می باشد و بازی های آن نیز در حال حاضر در بازار یافت می شوند .,-1
صفحه نمایش همان طور که گفتیم ، یک لپ تاپ اینچی است .,0
اما صفحه کلید لمسی یا همان صفحه کلید مجازی روی نمایشگر فوق العاده است .,2
آخرین کنترل حرکتی نیز مربوط به یا حرکت در بین آیکون ها و صفحات خانگی است .,0
من این تبلت رو از طریق همین سایت خریدم .,0
پس مطم ننا می شه رو هم به همین روش و به راحتی روش داشت .,1
